postcodes,town,state,state_code,province,latitude,longitude,country_iso_alpha2,country_iso_alpha3,country_iso_numeric
19100,La Spezia,Liguria,LG,La Spezia,44.1167,9.8333,IT,ITA,380
19121,Laspezia,Liguria,LG,La Spezia,44.1222,9.8167,IT,ITA,380
19122,Laspezia,Liguria,LG,La Spezia,44.1222,9.8167,IT,ITA,380
19123,Pegazzano,Liguria,LG,La Spezia,44.1167,9.8,IT,ITA,380
19124,Laspezia,Liguria,LG,La Spezia,44.1222,9.8167,IT,ITA,380
19125,Laspezia,Liguria,LG,La Spezia,44.1222,9.8167,IT,ITA,380
19126,Isola,Liguria,LG,La Spezia,44.1333,9.8333,IT,ITA,380
19131,Laspezia,Liguria,LG,La Spezia,44.133,9.7586,IT,ITA,380
19132,Laspezia,Liguria,LG,La Spezia,44.0667,9.8,IT,ITA,380
19133,Biassa,Liguria,LG,La Spezia,44.133,9.7586,IT,ITA,380
19134,Marinasco,Liguria,LG,La Spezia,44.1333,9.7833,IT,ITA,380
19135,Laspezia,Liguria,LG,La Spezia,44.133,9.7586,IT,ITA,380
19136,Laspezia,Liguria,LG,La Spezia,44.1167,9.8667,IT,ITA,380
19137,Laspezia,Liguria,LG,La Spezia,44.133,9.7586,IT,ITA,380
19138,Laspezia,Liguria,LG,La Spezia,44.2647,9.4181,IT,ITA,380
19139,Laspezia,Liguria,LG,La Spezia,44.0833,9.9,IT,ITA,380
17100,Zinola,Liguria,LG,Savona,44.2864,8.4479,IT,ITA,380
24100,Bergamo,Lombardia,LM,Bergamo,45.6833,9.7167,IT,ITA,380
24121,Bergamo,Lombardia,LM,Bergamo,45.6833,9.7167,IT,ITA,380
24122,Bergamo,Lombardia,LM,Bergamo,45.6833,9.7167,IT,ITA,380
24123,Valtesse,Lombardia,LM,Bergamo,45.7167,9.6667,IT,ITA,380
24124,Redona,Lombardia,LM,Bergamo,45.6833,9.7167,IT,ITA,380
24125,Bergamo,Lombardia,LM,Bergamo,45.6833,9.7167,IT,ITA,380
24126,Colognola Al Piano,Lombardia,LM,Bergamo,45.6833,9.7167,IT,ITA,380
24127,Bergamo,Lombardia,LM,Bergamo,45.6833,9.7167,IT,ITA,380
24128,Loreto,Lombardia,LM,Bergamo,45.6833,9.7167,IT,ITA,380
24129,Longuelo,Lombardia,LM,Bergamo,45.6833,9.7167,IT,ITA,380
25100,Brescia,Lombardia,LM,Brescia,45.55,10.25,IT,ITA,380
25121,Brescia,Lombardia,LM,Brescia,45.55,10.25,IT,ITA,380
25122,Brescia,Lombardia,LM,Brescia,45.55,10.25,IT,ITA,380
25123,Brescia,Lombardia,LM,Brescia,45.55,10.25,IT,ITA,380
25124,Brescia,Lombardia,LM,Brescia,45.55,10.25,IT,ITA,380
25125,Brescia,Lombardia,LM,Brescia,45.55,10.25,IT,ITA,380
25126,Brescia,Lombardia,LM,Brescia,45.55,10.25,IT,ITA,380
25127,Brescia,Lombardia,LM,Brescia,45.5398,10.2229,IT,ITA,380
25128,Brescia,Lombardia,LM,Brescia,45.55,10.25,IT,ITA,380
25129,Brescia,Lombardia,LM,Brescia,45.55,10.25,IT,ITA,380
25131,Fornaci,Lombardia,LM,Brescia,45.5,10.1667,IT,ITA,380
25132,Mandolossa Di Brescia,Lombardia,LM,Brescia,45.55,10.25,IT,ITA,380
25133,Mompiano,Lombardia,LM,Brescia,45.55,10.25,IT,ITA,380
25134,San Polo,Lombardia,LM,Brescia,45.5167,10.2667,IT,ITA,380
25135,Sant'Eufemia Della Fonte,Lombardia,LM,Brescia,45.55,10.25,IT,ITA,380
25136,Stocchetta,Lombardia,LM,Brescia,45.55,10.25,IT,ITA,380
22100,Lora,Lombardia,LM,Como,45.7991,9.111,IT,ITA,380
26100,Cava Tigozzi,Lombardia,LM,Cremona,45.1514,9.957,IT,ITA,380
20100,Milano,Lombardia,LM,Milano,45.4612,9.1878,IT,ITA,380
20121,Milano,Lombardia,LM,Milano,45.4612,9.1878,IT,ITA,380
20122,Milano,Lombardia,LM,Milano,45.4612,9.1878,IT,ITA,380
20123,Milano,Lombardia,LM,Milano,45.4612,9.1878,IT,ITA,380
20124,Milano,Lombardia,LM,Milano,45.4612,9.1878,IT,ITA,380
20125,Greco,Lombardia,LM,Milano,45.5639,9.0356,IT,ITA,380
20126,Milano,Lombardia,LM,Milano,45.4612,9.1878,IT,ITA,380
20127,Crescenzago,Lombardia,LM,Milano,45.5167,9.25,IT,ITA,380
20128,Milano,Lombardia,LM,Milano,45.4612,9.1878,IT,ITA,380
20129,Milano,Lombardia,LM,Milano,45.4612,9.1878,IT,ITA,380
20131,Milano,Lombardia,LM,Milano,45.4637,9.1881,IT,ITA,380
20132,Milano,Lombardia,LM,Milano,45.4612,9.1878,IT,ITA,380
20133,Milano,Lombardia,LM,Milano,45.4612,9.1878,IT,ITA,380
20134,Lambrate,Lombardia,LM,Milano,45.4833,9.25,IT,ITA,380
20135,Milano,Lombardia,LM,Milano,45.4612,9.1878,IT,ITA,380
20136,Milano,Lombardia,LM,Milano,45.4612,9.1878,IT,ITA,380
20137,Milano,Lombardia,LM,Milano,45.4612,9.1878,IT,ITA,380
20138,Milano,Lombardia,LM,Milano,45.4612,9.1878,IT,ITA,380
20139,Chiaravalle Milanese,Lombardia,LM,Milano,45.4612,9.1878,IT,ITA,380
20141,Milano,Lombardia,LM,Milano,45.4612,9.1878,IT,ITA,380
20142,Gratosoglio,Lombardia,LM,Milano,45.4612,9.1878,IT,ITA,380
20143,Barona,Lombardia,LM,Milano,45.4612,9.1878,IT,ITA,380
20144,Milano,Lombardia,LM,Milano,45.4612,9.1878,IT,ITA,380
20145,Milano,Lombardia,LM,Milano,45.4612,9.1878,IT,ITA,380
20146,Milano,Lombardia,LM,Milano,45.4612,9.1878,IT,ITA,380
20147,Milano,Lombardia,LM,Milano,45.4612,9.1878,IT,ITA,380
20148,Milano,Lombardia,LM,Milano,45.4612,9.1878,IT,ITA,380
20149,Milano,Lombardia,LM,Milano,45.4612,9.1878,IT,ITA,380
20151,Musocco,Lombardia,LM,Milano,45.5,9.1333,IT,ITA,380
20152,Baggio,Lombardia,LM,Milano,45.45,9.0833,IT,ITA,380
20153,Trenno,Lombardia,LM,Milano,45.4612,9.1878,IT,ITA,380
20154,Milano,Lombardia,LM,Milano,45.4612,9.1878,IT,ITA,380
20155,Milano,Lombardia,LM,Milano,45.4612,9.1878,IT,ITA,380
20156,Milano,Lombardia,LM,Milano,45.4612,9.1878,IT,ITA,380
20157,Vialba,Lombardia,LM,Milano,45.4723,9.1856,IT,ITA,380
20158,Milano,Lombardia,LM,Milano,45.4612,9.1878,IT,ITA,380
20159,Milano,Lombardia,LM,Milano,45.4612,9.1878,IT,ITA,380
20161,Affori,Lombardia,LM,Milano,45.4973,9.1856,IT,ITA,380
20162,Milano,Lombardia,LM,Milano,45.4612,9.1878,IT,ITA,380
46100,Mantova,Lombardia,LM,Mantova,45.1604,10.7977,IT,ITA,380
27100,Pavia,Lombardia,LM,Pavia,45.1859,9.1566,IT,ITA,380
23100,Albosaggia,Lombardia,LM,Sondrio,46.1611,9.8722,IT,ITA,380
21100,Sant'Ambrogio Olona,Lombardia,LM,Varese,45.8412,8.8095,IT,ITA,380
3100,Frosinone Stazione,Lazio,LZ,Frosinone,41.6333,13.3167,IT,ITA,380
4100,Borgo Isonzo,Lazio,LZ,Latina,41.4408,12.9091,IT,ITA,380
2100,Rieti,Lazio,LZ,Rieti,42.4031,12.8612,IT,ITA,380
100,Roma,Lazio,LZ,Roma,41.9,12.4833,IT,ITA,380
119,Ostia Antica,Lazio,LZ,Roma,41.75,12.3,IT,ITA,380
120,Roma,Lazio,LZ,Roma,41.9,12.4833,IT,ITA,380
121,Lido Di Ostia Ponente,Lazio,LZ,Roma,41.9,12.4833,IT,ITA,380
122,Castel Porziano,Lazio,LZ,Roma,41.7333,12.4,IT,ITA,380
123,Roma,Lazio,LZ,Roma,41.9,12.4833,IT,ITA,380
124,Roma,Lazio,LZ,Roma,41.9,12.4833,IT,ITA,380
125,Roma,Lazio,LZ,Roma,41.9,12.4833,IT,ITA,380
126,Roma,Lazio,LZ,Roma,41.9,12.4833,IT,ITA,380
127,Vitinia,Lazio,LZ,Roma,41.9,12.4833,IT,ITA,380
128,Castel Romano,Lazio,LZ,Roma,41.7333,12.45,IT,ITA,380
131,Roma,Lazio,LZ,Roma,41.9,12.4833,IT,ITA,380
132,Borgata Finocchio,Lazio,LZ,Roma,41.9,12.4833,IT,ITA,380
133,Torre Angela,Lazio,LZ,Roma,41.8667,12.5833,IT,ITA,380
134,Castel Di Leva,Lazio,LZ,Roma,41.7833,12.5333,IT,ITA,380
135,Roma,Lazio,LZ,Roma,41.8955,12.4823,IT,ITA,380
136,Roma,Lazio,LZ,Roma,41.9,12.4833,IT,ITA,380
137,Roma,Lazio,LZ,Roma,41.9,12.4833,IT,ITA,380
138,Marcigliana,Lazio,LZ,Roma,42.0167,12.5167,IT,ITA,380
139,Roma,Lazio,LZ,Roma,41.9,12.4833,IT,ITA,380
141,Roma,Lazio,LZ,Roma,41.9,12.4833,IT,ITA,380
142,Roma,Lazio,LZ,Roma,41.9,12.4833,IT,ITA,380
143,Cecchignola,Lazio,LZ,Roma,41.8167,12.4833,IT,ITA,380
144,Decima,Lazio,LZ,Roma,41.75,12.4333,IT,ITA,380
145,Roma,Lazio,LZ,Roma,41.9,12.4833,IT,ITA,380
146,Roma,Lazio,LZ,Roma,41.9,12.4833,IT,ITA,380
147,Roma,Lazio,LZ,Roma,41.9,12.4833,IT,ITA,380
148,Borgata Corviale,Lazio,LZ,Roma,41.9,12.4833,IT,ITA,380
149,Roma,Lazio,LZ,Roma,41.9,12.4833,IT,ITA,380
151,Roma,Lazio,LZ,Roma,41.9,12.4833,IT,ITA,380
152,Roma,Lazio,LZ,Roma,41.9,12.4833,IT,ITA,380
153,Roma,Lazio,LZ,Roma,41.9,12.4833,IT,ITA,380
154,Roma,Lazio,LZ,Roma,41.9,12.4833,IT,ITA,380
155,La Rustica,Lazio,LZ,Roma,41.9,12.5333,IT,ITA,380
156,Roma,Lazio,LZ,Roma,41.9,12.4833,IT,ITA,380
157,Roma,Lazio,LZ,Roma,41.9,12.4833,IT,ITA,380
158,Roma,Lazio,LZ,Roma,41.9,12.4833,IT,ITA,380
159,Roma,Lazio,LZ,Roma,41.9,12.4833,IT,ITA,380
161,Roma,Lazio,LZ,Roma,41.9,12.4833,IT,ITA,380
162,Roma,Lazio,LZ,Roma,41.9,12.4833,IT,ITA,380
163,Roma,Lazio,LZ,Roma,41.9,12.4833,IT,ITA,380
164,Roma,Lazio,LZ,Roma,41.9,12.4833,IT,ITA,380
165,Roma,Lazio,LZ,Roma,41.9,12.4833,IT,ITA,380
166,Borgata Casalotti,Lazio,LZ,Roma,41.9,12.4833,IT,ITA,380
167,Roma,Lazio,LZ,Roma,41.9,12.4833,IT,ITA,380
168,Roma,Lazio,LZ,Roma,41.9,12.4833,IT,ITA,380
169,Torre Spaccata,Lazio,LZ,Roma,41.9,12.4833,IT,ITA,380
171,Roma,Lazio,LZ,Roma,41.9,12.4833,IT,ITA,380
172,Roma,Lazio,LZ,Roma,41.9,12.4833,IT,ITA,380
173,Roma,Lazio,LZ,Roma,41.9,12.4833,IT,ITA,380
174,Roma,Lazio,LZ,Roma,41.9,12.4833,IT,ITA,380
175,Roma,Lazio,LZ,Roma,41.9,12.4833,IT,ITA,380
176,Roma,Lazio,LZ,Roma,41.9,12.4833,IT,ITA,380
177,Roma,Lazio,LZ,Roma,41.9,12.4833,IT,ITA,380
178,Capannelle,Lazio,LZ,Roma,41.8333,12.5667,IT,ITA,380
179,Roma,Lazio,LZ,Roma,41.9,12.4833,IT,ITA,380
181,Roma,Lazio,LZ,Roma,41.9,12.4833,IT,ITA,380
